Time,Device name,X-axis vibration speed(mm/s),Y-axis vibration speed(mm/s),Z-axis vibration speed(mm/s),Chip Time(),X-axis angular vibration amplitude(°),Y-axis angular vibration amplitude(°),Z-axis angular vibration amplitude(°),Temperature(℃),X-axis vibration displacement(um),Y-axis vibration displacement(um),Z-axis vibration displacement(um),X-axis frequency vibration frequency(),Y-axis frequency vibration frequency(),Z-axis frequency vibration frequency(),Power Percent(%)()
 15:35:04.988,e8:cb:ed:5a:4c:24, 1, 0, 0,, 0.000, 0.000, 0.000, 25.50, 12, 4, 6, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 2,, 0.000, 0.000, 0.000, 25.31, 11, 6, 11, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.25, 7, 6, 14, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.011, 0.000, 25.18, 2, 5, 10, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.25, 4, 3, 15, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 2, 0, 1,, 0.000, 0.005, 0.000, 25.50, 11, 4, 14, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.31, 16, 5, 10, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 2, 0, 0,, 0.000, 0.000, 0.000, 25.37, 19, 3, 9, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.44, 18, 0, 9, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 1, 1,, 0.000, 0.000, 0.000, 25.56, 19, 6, 10, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 0, 0, 1,, 0.000, 0.000, 0.000, 25.37, 16, 10, 6, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 0, 0, 0,, 0.000, 0.000, 0.000, 25.44, 11, 13, 3, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 0, 0, 1,, 0.000, 0.000, 0.000, 25.37, 6, 15, 2, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 1, 0, 2,, 0.000, 0.000, 0.000, 25.25, 7, 16, 3, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 2, 0, 1,, 0.000, 0.005, 0.000, 25.50, 9, 17, 5, 2, 6, 9, 100,
 15:35:04.989,e8:cb:ed:5a:4c:24, 2, 0, 2,, 0.000, 0.000, 0.000, 25.37, 16, 18, 11, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 2, 0, 2,, 0.000, 0.000, 0.000, 25.37, 23, 22, 15, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 1, 1, 2,, 0.000, 0.000, 0.000, 25.50, 29, 26, 28, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 1, 0, 0,, 0.000, 0.005, 0.000, 25.44, 31, 26, 26, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 0, 0, 1,, 0.000, 0.005, 0.000, 25.37, 32, 25, 29, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 0, 0, 2,, 0.000, 0.000, 0.000, 25.44, 28, 24, 29, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.50, 24, 25, 12, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 1, 0, 3,, 0.000, 0.005, 0.000, 25.44, 20, 25, 10, 2, 6, 9, 100,
 15:35:05.006,e8:cb:ed:5a:4c:24, 1, 1, 2,, 0.000, 0.000, 0.000, 25.37, 14, 26, 15, 2, 6, 9, 100,
 15:35:05.008,e8:cb:ed:5a:4c:24, 0, 0, 1,, 0.000, 0.000, 0.000, 25.37, 9, 25, 15, 2, 6, 9, 100,
 15:35:05.008,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.31, 4, 1, 20, 2, 6, 9, 100,
 15:35:05.008,e8:cb:ed:5a:4c:24, 2, 0, 2,, 0.000, 0.000, 0.000, 25.44, 2, 2, 22, 2, 6, 9, 100,
 15:35:05.008,e8:cb:ed:5a:4c:24, 2, 0, 1,, 0.000, 0.000, 0.000, 25.25, 7, 1, 7, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 3, 0, 2,, 0.000, 0.000, 0.000, 25.50, 15, 2, 6, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 3, 0, 1,, 0.000, 0.000, 0.000, 25.25, 10, 17, 33, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 2, 1, 1,, 0.000, 0.000, 0.000, 25.37, 21, 23, 25, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.56, 33, 24, 24, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 0, 1, 2,, 0.000, 0.005, 0.000, 25.44, 39, 25, 10, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.44, 38, 27, 4, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 1, 0, 2,, 0.000, 0.000, 0.000, 25.56, 37, 27, 3, 2, 6, 9, 100,
 15:35:05.095,e8:cb:ed:5a:4c:24, 2, 0, 1,, 0.000, 0.000, 0.000, 25.44, 36, 28, 3, 2, 6, 9, 100,
 15:35:05.124,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.44, 27, 30, 3, 2, 6, 9, 100,
 15:35:05.124,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.25, 17, 30, 7, 2, 6, 9, 100,
 15:35:05.124,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.005, 0.000, 25.44, 7, 27, 8, 2, 6, 9, 100,
 15:35:05.124,e8:cb:ed:5a:4c:24, 1, 1, 1,, 0.000, 0.005, 0.000, 25.44, 3, 21, 4, 2, 6, 9, 100,
 15:35:05.261,e8:cb:ed:5a:4c:24, 1, 0, 0,, 0.000, 0.005, 0.000, 25.37, 6, 14, 2, 2, 6, 9, 100,
 15:35:05.261,e8:cb:ed:5a:4c:24, 1, 0, 0,, 0.000, 0.000, 0.000, 25.50, 9, 14, 6, 2, 6, 9, 100,
 15:35:05.261,e8:cb:ed:5a:4c:24, 1, 0, 1,, 0.000, 0.000, 0.000, 25.25, 10, 12, 2, 2, 6, 9, 100,
 15:35:05.261,e8:cb:ed:5a:4c:24, 2, 0, 1,, 0.000, 0.000, 0.000, 25.37, 10, 9, 9, 2, 6, 9, 100,
 15:35:05.365,e8:cb:ed:5a:4c:24, 2, 1, 2,, 0.000, 0.000, 0.000, 25.31, 13, 6, 12, 2, 6, 9, 100,
 15:35:05.365,e8:cb:ed:5a:4c:24, 3, 0, 1,, 0.000, 0.000, 0.000, 25.44, 22, 2, 3, 2, 6, 9, 100,
 15:35:05.365,e8:cb:ed:5a:4c:24, 2, 1, 2,, 0.000, 0.000, 0.000, 25.50, 39, 8, 3, 2, 6, 9, 100,
